店舗区分,店舗名,所在地,地図URL,業種,主な取扱品
一般店,パインリーフ（ファミリー中華）,水戸市島田町98-4,https://goo.gl/maps/8erRXeRuVxJqTXra8,飲食,中華料理、ラーメン、生バナナジュース他
一般店,蛇の目寿司,水戸市大串町2087,https://goo.gl/maps/Aj6UeQoHwKUzmG1k6,飲食,地魚料理、あんこう料理
一般店,グルービー　赤塚店,水戸市見和3-592-9,https://goo.gl/maps/MxECvr3qeWyXiQLJ9,飲食,レストラン（ピラフ・パスタ・ピザ・その他）
一般店,ホテル・ザ・ウエストヒルズ水戸　ガーデンキッチン　リチェッタ,水戸市大工町1-2-1,https://goo.gl/maps/j2BcaAdzjBPJRarQ7,飲食,イタリアンレストラン
一般店,レストランイイジマ,水戸市見和2-251-10,https://goo.gl/maps/o3o8NDsxpQwGLrgXA,飲食,常陸牛をテーマにする洋食
一般店,Bio Harvest 水戸本店 ダイニング,水戸市城南1-8-15,https://goo.gl/maps/yHSkU7MrNMtgdfQC6,飲食,健康レストラン
一般店,蕎麦居酒屋まち庵　水戸銀杏坂店,水戸市宮町2-4-34　M&Hビル１Ｆ,https://goo.gl/maps/7gPX2GbAqiN953Az7,飲食,蕎麦
一般店,割烹　まち鮨　水戸本店,水戸市中央1-5-6,https://goo.gl/maps/Rexi1Wmn4Gv9BqLS9,飲食,寿司
大型店,ﾛｰｽﾄﾋﾞｰﾌ星,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,ﾃｷｻｽｷﾝｸﾞｽﾃｰｷ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,果汁工房果琳,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,ﾃﾞｻﾞｰﾄ王国,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,ﾐｽﾀｰﾄﾞｰﾅﾂ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,ｹﾝﾀｯｷｰﾌﾗｲﾄﾞﾁｷﾝ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,ﾌﾚｯｼｭﾈｽﾊﾞｰｶﾞｰ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,ﾘﾝｶﾞｰﾊｯﾄ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,いなせ庵,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,ぶっかけうどん丸亀製麺,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,肉のﾔﾏｷ商店,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,博多ん丸,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,築地銀だこ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,倉式珈琲店,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,カフェ
大型店,ﾀﾘｰｽﾞｺｰﾋｰ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,カフェ
大型店,ｻｰﾃｨﾜﾝｱｲｽｸﾘｰﾑ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/FQ3Jo78xEjfrHJV69,飲食,ｼﾞｭｰｽ､ｱｲｽ
大型店,ｳﾞｨ･ﾄﾞ･ﾌﾗﾝｽ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/FQ3Jo78xEjfrHJV69,飲食,カフェ
大型店,ｽﾀｰﾊﾞｯｸｽｺｰﾋｰ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/FQ3Jo78xEjfrHJV69,飲食,"カフェ
"
大型店,龍神丸,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/FQ3Jo78xEjfrHJV69,飲食,レストラン
大型店,ﾏﾘﾉ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/FQ3Jo78xEjfrHJV69,飲食,レストラン
大型店,ｽﾃｰｷ＆ﾊﾝﾊﾞｰｸﾞ ﾃﾞﾝﾊﾞｰﾌﾟﾚﾐｱﾑ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/FQ3Jo78xEjfrHJV69,飲食,レストラン
大型店,ﾃﾞﾘ・ｼｭｰ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/FQ3Jo78xEjfrHJV69,飲食,レストラン
大型店,越後秘蔵麺 無尽蔵,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/FQ3Jo78xEjfrHJV69,飲食,レストラン
